product_id,product_name,category_name,department_name,Column1
191052,LIJA Women's Argyle Golf Polo,Golf Shoes,Outdoors,
191053,LIJA Women's Mid-Length Panel Golf Shorts,Golf Shoes,Outdoors,
191054,LIJA Women's Eyelet Sleeveless Golf Polo,Golf Shoes,Outdoors,
191055,Ogio Race Golf Shoes,Golf Bags & Carts,Outdoors,
191056,TaylorMade 2014 Purelite Stand Bag,Golf Gloves,Outdoors,
191057,Bag Boy M330 Push Cart,Golf Gloves,Outdoors,
191058,Bag Boy Beverage Holder,Golf Gloves,Outdoors,
191059,Clicgear 8.0 Shoe Brush,Golf Gloves,Outdoors,
191060,Clicgear Rovic Cooler Bag,Golf Gloves,Outdoors,
191061,Titleist Club Glove Travel Cover,Golf Gloves,Outdoors,
191062,Titleist Small Wheeled Travel Cover,Golf Gloves,Outdoors,
191063,Hirzl Women's Hybrid Golf Glove,Golf Balls,Outdoors,
191064,Hirzl Women's Soffft Flex Golf Glove,Golf Balls,Outdoors,
191065,Hirzl Men's Hybrid Golf Glove,Golf Balls,Outdoors,
191066,Glove It Women's Imperial Golf Glove,Golf Balls,Outdoors,
191067,Glove It Women's Mod Oval Golf Glove,Golf Balls,Outdoors,
191068,Bridgestone e6 Straight Distance NFL Carolina,Electronics,Outdoors,
191069,Bridgestone e6 Straight Distance NFL Tennesse,Electronics,Outdoors,
191070,Titleist Pro V1x High Numbers Golf Balls,Electronics,Outdoors,
191071,Titleist Pro V1x High Numbers Personalized Go,Electronics,Outdoors,
191072,Titleist Pro V1x Golf Balls,Electronics,Outdoors,
191073,Bridgestone e6 Straight Distance NFL San Dieg,Electronics,Outdoors,
191074,Titleist Pro V1 High Numbers Personalized Gol,Electronics,Outdoors,
191075,GolfBuddy VT3 GPS Watch,Kids' Golf Clubs,Outdoors,
191076,Fitbit The One Wireless Activity & Sleep Trac,Kids' Golf Clubs,Outdoors,
191077,Polar FT4 Heart Rate Monitor,Kids' Golf Clubs,Outdoors,
191078,Bushnell Pro X7 Jolt Slope Rangefinder,Kids' Golf Clubs,Outdoors,
191079,Mio ALPHA Heart Rate Monitor/Sport Watch,Kids' Golf Clubs,Outdoors,
191080,Garmin Forerunner 910XT GPS Watch,Kids' Golf Clubs,Outdoors,
191081,Polar Loop Activity Tracker,Kids' Golf Clubs,Outdoors,
191082,Garmin Approach S4 Golf GPS Watch,Kids' Golf Clubs,Outdoors,
191083,Team Golf Pittsburgh Steelers Putter Grip,Accessories,Outdoors,
191084,Team Golf Tennessee Volunteers Putter Grip,Accessories,Outdoors,
191085,Team Golf New England Patriots Putter Grip,Accessories,Outdoors,
191086,Team Golf St. Louis Cardinals Putter Grip,Accessories,Outdoors,
191087,Team Golf San Francisco Giants Putter Grip,Accessories,Outdoors,
191088,Team Golf Texas Longhorns Putter Grip,Accessories,Outdoors,
191089,Glove It Imperial Golf Towel,Trade-In,Outdoors,
191090,Glove It Women's Mod Oval 3-Zip Carry All Gol,Trade-In,Outdoors,
191091,Garmin Approach S3 Golf GPS Watch,Trade-In,Outdoors,
191092,Glove It Urban Brick Golf Towel,Trade-In,Outdoors,
191093,Diamondback Women's Serene Classic Comfort Bi,Camping & Hiking,Fan Shop,
191094,ENO Atlas Hammock Straps,Hunting & Shooting,Fan Shop,
191095,insta-bed Neverflat Air Mattress,Hunting & Shooting,Fan Shop,
191096,The North Face Women's Recon Backpack,Hunting & Shooting,Fan Shop,
191097,Field & Stream Sportsman 16 Gun Fire Safe,Fishing,Fan Shop,
191098,O'Brien Men's Neoprene Life Vest,Indoor/Outdoor Games,Fan Shop,
191099,Pelican Maverick 100X Kayak,Water Sports,Fan Shop,
191100,Pelican Sunstream 100 Kayak,Water Sports,Fan Shop,
191101,Sports Books,Books,Book Shop,
191102,Baby sweater,Baby,Apparel,
191103,CDs of rock,CDs,Discs Shop,
191104,Web Camera,Cameras,Technology,
191105,Children's heaters,Children's Clothing,Apparel,
191106,Dell Laptop,Computers,Technology,
191107,Industrial consumer electronics,Consumer Electronics,Technology,
191108,Porcelain crafts,Crafts,Apparel,
191109,DVDs,DVDs,Discs Shop,
191110,Lawn mower,Garden,Outdoors,
191111,First aid kit,Health and Beauty,Health and Beauty,
191112,Men's gala suit,Men's Clothing,Apparel,
191113,Rock music,Music,Discs Shop,
191114,Adult dog supplies,Pet Supplies,Pet Shop,
191115,Smart watch,Sporting Goods,Fitness,
191116,Toys,Toys,Fan Shop,
191117,Fighting video games,Video Games,Discs Shop,
191118,Summer dresses,Women's Clothing,Apparel,
