order_id,transaction_type,processing_time(day),delivery_estimate(day),late_delivery_risk,delivery_status,order_status,shipping_mode
00091,Debit,2,1,1,Late Delivery,Complete,First Class
00092,Debit,3,2,1,Late Delivery,Complete,Second Class
00093,Payment,4,2,1,Late Delivery,Pending Payment,Second Class
00094,Transfer,5,4,1,Late Delivery,Processing,Standard Class
00095,Debit,2,1,1,Late Delivery,Complete,First Class
00096,Transfer,2,2,0,Shipping On Time,Pending,Second Class
00097,Transfer,3,2,1,Late Delivery,Pending,Second Class
00098,Debit,4,4,0,Shipping On Time,Complete,Standard Class
00099,Payment,5,2,1,Late Delivery,Pending Payment,Second Class
00100,Transfer,6,2,1,Late Delivery,Processing,Second Class
00101,Cash,2,2,0,Shipping On Time,Closed,Second Class
00103,Transfer,4,4,0,Shipping On Time,Processing,Standard Class
00104,Payment,5,4,1,Late Delivery,Pending Payment,Standard Class
00105,Debit,6,4,1,Late Delivery,Complete,Standard Class
00106,Transfer,2,4,0,Advance Shipping,Processing,Standard Class
00107,Debit,3,4,0,Advance Shipping,Complete,Standard Class
00110,Debit,6,4,1,Late Delivery,Complete,Standard Class
00111,Transfer,2,4,0,Advance Shipping,Processing,Standard Class
00112,Transfer,3,4,0,Shipping Canceled,Canceled,Standard Class
00113,Payment,4,4,0,Shipping On Time,Pending Payment,Standard Class
00114,Debit,1,0,1,Late Delivery,Complete,Same Day
00115,Transfer,6,4,1,Late Delivery,Processing,Standard Class
00116,Cash,2,4,0,Advance Shipping,Closed,Standard Class
00117,Transfer,3,4,0,Shipping Canceled,Suspected Fraud,Standard Class
00118,Debit,4,4,0,Shipping On Time,Complete,Standard Class
00119,Payment,5,4,1,Late Delivery,Pending Payment,Standard Class
00120,Payment,2,1,1,Late Delivery,Pending Payment,First Class
00121,Transfer,2,4,0,Advance Shipping,Pending,Standard Class
00122,Transfer,3,4,0,Advance Shipping,Processing,Standard Class
00123,Payment,4,4,0,Shipping On Time,Pending Payment,Standard Class
00124,Debit,5,4,1,Late Delivery,Complete,Standard Class
00127,Payment,3,4,0,Advance Shipping,Pending Payment,Standard Class
00129,Cash,5,4,1,Late Delivery,Closed,Standard Class
00130,Payment,6,4,1,Late Delivery,Pending Payment,Standard Class
00131,Transfer,2,4,0,Advance Shipping,Processing,Standard Class
00132,Transfer,3,4,0,Advance Shipping,Pending,Standard Class
00133,Cash,4,2,1,Late Delivery,Closed,Second Class
00134,Payment,5,4,1,Late Delivery,Pending Payment,Standard Class
00135,Debit,6,4,1,Late Delivery,Complete,Standard Class
00136,Payment,2,4,0,Advance Shipping,Pending Payment,Standard Class
00137,Debit,3,4,0,Advance Shipping,Complete,Standard Class
00139,Debit,5,4,1,Late Delivery,Complete,Standard Class
00140,Payment,6,4,1,Late Delivery,Pending Payment,Standard Class
00141,Debit,2,4,0,Advance Shipping,Complete,Standard Class
00142,Payment,3,2,1,Late Delivery,Pending Payment,Second Class
00143,Debit,4,4,0,Shipping On Time,Complete,Standard Class
00145,Debit,6,4,1,Late Delivery,On Hold,Standard Class
00146,Debit,2,4,0,Advance Shipping,Complete,Standard Class
00147,Payment,3,4,0,Advance Shipping,Pending Payment,Standard Class
00148,Transfer,4,4,0,Shipping On Time,Processing,Standard Class
00149,Debit,0,0,0,Shipping On Time,Complete,Same Day
00150,Transfer,6,4,1,Late Delivery,Processing,Standard Class
00151,Debit,2,2,0,Shipping On Time,On Hold,Second Class
00152,Debit,3,2,1,Late Delivery,Complete,Second Class
00154,Debit,5,2,1,Late Delivery,On Hold,Second Class
00155,Payment,6,2,1,Late Delivery,Pending Payment,Second Class
00156,Debit,2,1,1,Late Delivery,On Hold,First Class
00157,Debit,2,1,1,Late Delivery,On Hold,First Class
00158,Transfer,2,1,1,Late Delivery,Pending,First Class
00159,Payment,5,2,1,Late Delivery,Pending Payment,Second Class
00160,Debit,6,4,1,Late Delivery,Complete,Standard Class
00161,Payment,2,4,0,Advance Shipping,Pending Payment,Standard Class
00162,Payment,3,4,0,Advance Shipping,Pending Payment,Standard Class
00163,Debit,4,4,0,Shipping On Time,Complete,Standard Class
00164,Transfer,5,4,1,Late Delivery,Processing,Standard Class
00165,Payment,6,4,1,Late Delivery,Pending Payment,Standard Class
00166,Transfer,2,4,0,Advance Shipping,Processing,Standard Class
00167,Transfer,3,2,1,Late Delivery,Pending,Second Class
00168,Payment,4,2,1,Late Delivery,Pending Payment,Second Class
00170,Payment,6,2,1,Late Delivery,Payment Review,Second Class
00171,Debit,2,2,0,Shipping On Time,Complete,Second Class
00172,Debit,3,4,0,Advance Shipping,Complete,Standard Class
00173,Debit,4,2,1,Late Delivery,On Hold,Second Class
00174,Debit,5,2,1,Late Delivery,Complete,Second Class
00175,Debit,2,1,1,Late Delivery,Complete,First Class
00177,Payment,3,4,0,Advance Shipping,Pending Payment,Standard Class
00178,Debit,4,4,0,Shipping On Time,Complete,Standard Class
00179,Debit,5,4,1,Late Delivery,Complete,Standard Class
00180,Debit,6,4,1,Late Delivery,On Hold,Standard Class
00181,Transfer,2,4,0,Advance Shipping,Pending,Standard Class
00182,Debit,3,4,0,Advance Shipping,Complete,Standard Class
00184,Debit,5,4,1,Late Delivery,Complete,Standard Class
00185,Payment,6,4,1,Late Delivery,Pending Payment,Standard Class
00186,Debit,2,4,0,Advance Shipping,Complete,Standard Class
00188,Transfer,4,4,0,Shipping On Time,Pending,Standard Class
00189,Transfer,5,4,1,Late Delivery,Pending,Standard Class
00190,Transfer,6,4,1,Late Delivery,Pending,Standard Class
00191,Cash,2,2,0,Shipping On Time,Closed,Second Class
00192,Transfer,1,0,1,Late Delivery,Processing,Same Day
00193,Transfer,1,0,1,Late Delivery,Processing,Same Day
00194,Payment,1,0,1,Late Delivery,Pending Payment,Same Day
00195,Transfer,6,2,1,Late Delivery,Processing,Second Class
00196,Transfer,2,4,0,Advance Shipping,Processing,Standard Class
00197,Transfer,3,4,0,Advance Shipping,Processing,Standard Class
00198,Payment,4,4,0,Shipping On Time,Pending Payment,Standard Class
00200,Payment,6,4,1,Late Delivery,Payment Review,Standard Class
00201,Cash,2,4,0,Advance Shipping,Closed,Standard Class
00202,Payment,3,4,0,Advance Shipping,Pending Payment,Standard Class
00204,Payment,5,4,1,Late Delivery,Pending Payment,Standard Class
00205,Transfer,6,4,1,Late Delivery,Processing,Standard Class
00206,Transfer,2,4,0,Advance Shipping,Pending,Standard Class
00207,Debit,3,4,0,Advance Shipping,Complete,Standard Class
00208,Transfer,4,4,0,Shipping On Time,Processing,Standard Class
00209,Transfer,5,4,1,Late Delivery,Pending,Standard Class
00211,Cash,2,2,0,Shipping On Time,Closed,Second Class
00212,Transfer,3,4,0,Advance Shipping,Pending,Standard Class
00213,Cash,4,4,0,Shipping On Time,Closed,Standard Class
00214,Debit,5,4,1,Late Delivery,Complete,Standard Class
00215,Cash,6,4,1,Late Delivery,Closed,Standard Class
00216,Transfer,2,4,0,Advance Shipping,Pending,Standard Class
00219,Transfer,5,4,1,Late Delivery,Processing,Standard Class
00220,Debit,6,4,1,Late Delivery,Complete,Standard Class
00221,Cash,2,4,0,Advance Shipping,Closed,Standard Class
00222,Cash,2,1,1,Late Delivery,Closed,First Class
00223,Transfer,2,1,1,Late Delivery,Pending,First Class
00224,Cash,2,1,1,Late Delivery,Closed,First Class
00225,Debit,2,1,1,Late Delivery,Complete,First Class
00226,Payment,2,1,1,Late Delivery,Pending Payment,First Class
00227,Cash,2,1,1,Late Delivery,Closed,First Class
00228,Debit,2,1,1,Late Delivery,On Hold,First Class
00229,Transfer,5,4,1,Late Delivery,Pending,Standard Class
00230,Payment,6,4,1,Late Delivery,Pending Payment,Standard Class
00231,Debit,2,4,0,Advance Shipping,Complete,Standard Class
00232,Payment,3,4,0,Advance Shipping,Pending Payment,Standard Class
00234,Debit,5,4,1,Late Delivery,On Hold,Standard Class
00235,Payment,6,4,1,Late Delivery,Pending Payment,Standard Class
00236,Debit,2,4,0,Advance Shipping,Complete,Standard Class
00237,Payment,3,4,0,Advance Shipping,Pending Payment,Standard Class
00238,Payment,4,4,0,Shipping On Time,Pending Payment,Standard Class
00239,Debit,5,4,1,Late Delivery,Complete,Standard Class
00240,Transfer,0,0,0,Shipping On Time,Pending,Same Day
00241,Cash,2,4,0,Advance Shipping,Closed,Standard Class
00242,Payment,3,4,0,Advance Shipping,Payment Review,Standard Class
00243,Debit,4,4,0,Shipping On Time,On Hold,Standard Class
00244,Payment,5,4,1,Late Delivery,Pending Payment,Standard Class
00245,Cash,2,1,1,Late Delivery,Closed,First Class
00246,Transfer,2,2,0,Shipping Canceled,Suspected Fraud,Second Class
00247,Debit,3,2,1,Late Delivery,Complete,Second Class
00248,Debit,4,4,0,Shipping On Time,Complete,Standard Class
00249,Cash,5,2,1,Late Delivery,Closed,Second Class
00250,Debit,6,4,1,Late Delivery,Complete,Standard Class
00251,Transfer,2,4,0,Advance Shipping,Pending,Standard Class
00252,Debit,3,4,0,Advance Shipping,Complete,Standard Class
00253,Debit,4,4,0,Shipping On Time,Complete,Standard Class
00254,Debit,5,4,1,Late Delivery,Complete,Standard Class
00255,Debit,6,2,1,Late Delivery,Complete,Second Class
00256,Cash,2,4,0,Advance Shipping,Closed,Standard Class
00257,Transfer,3,2,1,Late Delivery,Processing,Second Class
00259,Debit,5,2,1,Late Delivery,Complete,Second Class
00260,Cash,6,4,1,Late Delivery,Closed,Standard Class
00262,Cash,3,4,0,Advance Shipping,Closed,Standard Class
00263,Debit,4,4,0,Shipping On Time,Complete,Standard Class
00264,Debit,5,4,1,Late Delivery,Complete,Standard Class
00265,Payment,2,1,1,Late Delivery,Pending Payment,First Class
00266,Debit,2,1,1,Late Delivery,Complete,First Class
00267,Cash,2,1,1,Late Delivery,Closed,First Class
00268,Cash,2,1,1,Late Delivery,Closed,First Class
00269,Transfer,5,4,1,Late Delivery,Processing,Standard Class
00271,Debit,2,4,0,Advance Shipping,Complete,Standard Class
00272,Cash,3,4,0,Advance Shipping,Closed,Standard Class
00273,Payment,4,4,0,Shipping On Time,Pending Payment,Standard Class
00274,Transfer,1,0,1,Late Delivery,Pending,Same Day
00275,Payment,1,0,1,Late Delivery,Pending Payment,Same Day
00277,Transfer,0,0,0,Shipping On Time,Pending,Same Day
00278,Payment,4,4,0,Shipping On Time,Payment Review,Standard Class
00279,Debit,5,4,1,Late Delivery,Complete,Standard Class
00280,Transfer,6,4,1,Late Delivery,Pending,Standard Class
00281,Payment,2,4,0,Advance Shipping,Pending Payment,Standard Class
00282,Payment,3,4,0,Advance Shipping,Pending Payment,Standard Class
00283,Debit,4,2,1,Late Delivery,Complete,Second Class
00284,Transfer,5,2,1,Late Delivery,Processing,Second Class
00285,Cash,6,4,1,Late Delivery,Closed,Standard Class
00286,Debit,2,4,0,Advance Shipping,On Hold,Standard Class
00287,Debit,3,2,1,Late Delivery,Complete,Second Class
00288,Debit,4,2,1,Late Delivery,Complete,Second Class
00289,Payment,5,4,1,Late Delivery,Pending Payment,Standard Class
00290,Debit,6,4,1,Late Delivery,Complete,Standard Class
00292,Payment,3,4,0,Advance Shipping,Pending Payment,Standard Class
00293,Transfer,4,4,0,Shipping On Time,Processing,Standard Class
00294,Cash,5,4,1,Late Delivery,Closed,Standard Class
00295,Transfer,6,4,1,Late Delivery,Pending,Standard Class
00296,Debit,2,1,1,Late Delivery,Complete,First Class
00297,Transfer,3,4,0,Advance Shipping,Pending,Standard Class
00299,Payment,5,4,1,Late Delivery,Pending Payment,Standard Class
00300,Cash,6,4,1,Late Delivery,Closed,Standard Class
00301,Debit,2,4,0,Advance Shipping,Complete,Standard Class
00302,Debit,3,4,0,Advance Shipping,Complete,Standard Class
00303,Payment,4,4,0,Shipping On Time,Pending Payment,Standard Class
00304,Debit,5,2,1,Late Delivery,Complete,Second Class
00305,Debit,6,2,1,Late Delivery,On Hold,Second Class
00306,Debit,2,2,0,Shipping On Time,Complete,Second Class
00307,Transfer,3,2,1,Late Delivery,Pending,Second Class
00308,Payment,2,1,1,Late Delivery,Pending Payment,First Class
00311,Debit,2,2,0,Shipping On Time,Complete,Second Class
00312,Debit,3,2,1,Late Delivery,Complete,Second Class
00313,Cash,4,2,1,Late Delivery,Closed,Second Class
00314,Payment,5,2,1,Late Delivery,Pending Payment,Second Class
00315,Payment,6,4,1,Late Delivery,Pending Payment,Standard Class
00316,Transfer,2,2,0,Shipping On Time,Processing,Second Class
00318,Payment,2,1,1,Late Delivery,Pending Payment,First Class
00319,Debit,2,1,1,Late Delivery,Complete,First Class
00320,Transfer,6,4,0,Shipping Canceled,Suspected Fraud,Standard Class
00321,Debit,2,2,0,Shipping On Time,On Hold,Second Class
00323,Payment,4,2,1,Late Delivery,Pending Payment,Second Class
00324,Debit,5,4,1,Late Delivery,Complete,Standard Class
00325,Transfer,6,4,1,Late Delivery,Pending,Standard Class
00326,Payment,2,4,0,Advance Shipping,Pending Payment,Standard Class
00327,Transfer,3,4,0,Advance Shipping,Pending,Standard Class
00328,Debit,4,4,0,Shipping On Time,Complete,Standard Class
00330,Debit,1,0,1,Late Delivery,Complete,Same Day
00332,Debit,2,1,1,Late Delivery,Complete,First Class
00333,Payment,4,4,0,Shipping On Time,Pending Payment,Standard Class
00334,Payment,5,4,1,Late Delivery,Pending Payment,Standard Class
00335,Transfer,6,4,1,Late Delivery,Pending,Standard Class
00336,Transfer,2,4,0,Advance Shipping,Pending,Standard Class
00337,Debit,3,4,0,Advance Shipping,Complete,Standard Class
00338,Debit,4,4,0,Shipping On Time,Complete,Standard Class
00339,Transfer,5,4,1,Late Delivery,Pending,Standard Class
00342,Debit,3,2,1,Late Delivery,On Hold,Second Class
00343,Debit,4,2,1,Late Delivery,Complete,Second Class
00345,Transfer,6,2,1,Late Delivery,Processing,Second Class
00347,Debit,3,2,1,Late Delivery,Complete,Second Class
00348,Debit,4,4,0,Shipping On Time,Complete,Standard Class
00349,Debit,5,4,1,Late Delivery,Complete,Standard Class
00350,Debit,6,4,1,Late Delivery,Complete,Standard Class
00351,Debit,2,4,0,Advance Shipping,Complete,Standard Class
00352,Payment,3,4,0,Advance Shipping,Pending Payment,Standard Class
00353,Transfer,4,4,0,Shipping On Time,Processing,Standard Class
00354,Transfer,5,4,1,Late Delivery,Processing,Standard Class
00355,Transfer,6,4,1,Late Delivery,Processing,Standard Class
00356,Transfer,2,4,0,Advance Shipping,Pending,Standard Class
00357,Debit,3,2,1,Late Delivery,Complete,Second Class
00358,Transfer,4,2,1,Late Delivery,Pending,Second Class
00359,Payment,5,2,1,Late Delivery,Pending Payment,Second Class
00360,Debit,6,2,1,Late Delivery,Complete,Second Class
00362,Transfer,0,0,0,Shipping On Time,Processing,Same Day
00363,Cash,0,0,0,Shipping On Time,Closed,Same Day
00364,Transfer,5,4,1,Late Delivery,Processing,Standard Class
00365,Payment,6,4,1,Late Delivery,Pending Payment,Standard Class
00366,Payment,2,4,0,Advance Shipping,Pending Payment,Standard Class
00367,Transfer,3,4,0,Advance Shipping,Processing,Standard Class
00368,Debit,4,4,0,Shipping On Time,Complete,Standard Class
00370,Payment,6,4,1,Late Delivery,Pending Payment,Standard Class
00372,Debit,3,4,0,Advance Shipping,Complete,Standard Class
00373,Transfer,4,2,1,Late Delivery,Pending,Second Class
00375,Transfer,6,2,1,Late Delivery,Processing,Second Class
00376,Transfer,2,2,0,Shipping On Time,Pending,Second Class
00377,Transfer,3,2,1,Late Delivery,Processing,Second Class
00378,Payment,4,2,1,Late Delivery,Pending Payment,Second Class
00381,Debit,2,4,0,Advance Shipping,On Hold,Standard Class
00382,Transfer,3,2,1,Late Delivery,Processing,Second Class
00383,Payment,4,2,1,Late Delivery,Pending Payment,Second Class
00384,Cash,2,1,1,Late Delivery,Closed,First Class
00385,Debit,6,2,1,Late Delivery,Complete,Second Class
00386,Transfer,2,4,0,Advance Shipping,Pending,Standard Class
00387,Cash,3,4,0,Advance Shipping,Closed,Standard Class
00388,Debit,4,4,0,Shipping On Time,Complete,Standard Class
00389,Debit,5,4,1,Late Delivery,Complete,Standard Class
00390,Transfer,6,4,1,Late Delivery,Pending,Standard Class
00391,Payment,2,4,0,Advance Shipping,Pending Payment,Standard Class
00392,Transfer,3,4,0,Advance Shipping,Pending,Standard Class
00393,Cash,4,4,0,Shipping On Time,Closed,Standard Class
00394,Payment,5,4,1,Late Delivery,Pending Payment,Standard Class
00395,Debit,6,4,1,Late Delivery,Complete,Standard Class
00396,Payment,2,4,0,Advance Shipping,Payment Review,Standard Class
00397,Cash,3,4,0,Advance Shipping,Closed,Standard Class
00398,Debit,4,4,0,Shipping On Time,On Hold,Standard Class
00399,Transfer,5,4,1,Late Delivery,Processing,Standard Class
00401,Transfer,2,4,0,Advance Shipping,Processing,Standard Class
00402,Payment,3,4,0,Advance Shipping,Pending Payment,Standard Class
00403,Debit,4,4,0,Shipping On Time,Complete,Standard Class
00404,Cash,5,4,1,Late Delivery,Closed,Standard Class
00405,Debit,6,4,1,Late Delivery,Complete,Standard Class
00407,Transfer,3,4,0,Advance Shipping,Processing,Standard Class
00408,Payment,4,4,0,Shipping On Time,Payment Review,Standard Class
00409,Transfer,5,2,1,Late Delivery,Processing,Second Class
00410,Transfer,6,2,1,Late Delivery,Pending,Second Class
00411,Transfer,2,4,0,Shipping Canceled,Suspected Fraud,Standard Class
00413,Cash,4,4,0,Shipping On Time,Closed,Standard Class
00414,Transfer,5,4,1,Late Delivery,Pending,Standard Class
00415,Cash,2,1,1,Late Delivery,Closed,First Class
00416,Debit,2,1,1,Late Delivery,Complete,First Class
00417,Payment,3,2,1,Late Delivery,Pending Payment,Second Class
00418,Debit,0,0,0,Shipping On Time,Complete,Same Day
00419,Payment,5,2,1,Late Delivery,Pending Payment,Second Class
00421,Transfer,2,4,0,Advance Shipping,Pending,Standard Class
00422,Debit,3,4,0,Advance Shipping,Complete,Standard Class
00423,Transfer,0,0,0,Shipping Canceled,Suspected Fraud,Same Day
00424,Transfer,2,1,1,Late Delivery,Processing,First Class
00425,Payment,2,1,1,Late Delivery,Pending Payment,First Class
00427,Debit,2,1,1,Late Delivery,Complete,First Class
00428,Debit,4,4,0,Shipping On Time,Complete,Standard Class
00429,Cash,2,1,1,Late Delivery,Closed,First Class
00430,Payment,2,1,1,Late Delivery,Pending Payment,First Class
00431,Cash,2,1,1,Late Delivery,Closed,First Class
00432,Debit,3,2,1,Late Delivery,Complete,Second Class
00433,Transfer,4,2,1,Late Delivery,Processing,Second Class
00436,Transfer,2,4,0,Advance Shipping,Processing,Standard Class
00437,Debit,3,4,0,Advance Shipping,Complete,Standard Class
00438,Debit,4,4,0,Shipping On Time,Complete,Standard Class
00441,Payment,2,4,0,Advance Shipping,Pending Payment,Standard Class
00442,Debit,3,4,0,Advance Shipping,Complete,Standard Class
00443,Cash,2,1,1,Late Delivery,Closed,First Class
00444,Debit,0,0,0,Shipping On Time,Complete,Same Day
00446,Payment,0,0,0,Shipping On Time,Pending Payment,Same Day
00447,Cash,1,0,1,Late Delivery,Closed,Same Day
00449,Cash,5,4,1,Late Delivery,Closed,Standard Class
00450,Debit,6,2,1,Late Delivery,On Hold,Second Class
00451,Transfer,2,2,0,Shipping On Time,Pending,Second Class
00453,Transfer,4,4,0,Shipping Canceled,Suspected Fraud,Standard Class
00454,Payment,5,4,1,Late Delivery,Pending Payment,Standard Class
00455,Transfer,6,4,1,Late Delivery,Pending,Standard Class
00456,Cash,2,4,0,Advance Shipping,Closed,Standard Class
00458,Debit,4,4,0,Shipping On Time,Complete,Standard Class
00459,Debit,5,4,1,Late Delivery,Complete,Standard Class
00461,Cash,2,4,0,Advance Shipping,Closed,Standard Class
00462,Transfer,3,4,0,Advance Shipping,Processing,Standard Class
00463,Debit,4,4,0,Shipping On Time,Complete,Standard Class
00465,Payment,6,4,1,Late Delivery,Pending Payment,Standard Class
00466,Cash,2,1,1,Late Delivery,Closed,First Class
00467,Payment,3,4,0,Advance Shipping,Pending Payment,Standard Class
00468,Debit,4,2,1,Late Delivery,Complete,Second Class
00470,Payment,2,1,1,Late Delivery,Pending Payment,First Class
00471,Transfer,2,4,0,Advance Shipping,Pending,Standard Class
00472,Cash,3,4,0,Advance Shipping,Closed,Standard Class
00473,Debit,4,4,0,Shipping On Time,Complete,Standard Class
00474,Payment,5,4,1,Late Delivery,Pending Payment,Standard Class
00475,Cash,6,4,1,Late Delivery,Closed,Standard Class
00476,Payment,2,4,0,Advance Shipping,Pending Payment,Standard Class
00477,Debit,3,4,0,Advance Shipping,On Hold,Standard Class
00478,Debit,4,2,1,Late Delivery,Complete,Second Class
00479,Debit,5,2,1,Late Delivery,Complete,Second Class
00480,Transfer,6,2,1,Late Delivery,Processing,Second Class
00481,Transfer,2,4,0,Advance Shipping,Processing,Standard Class
00482,Debit,2,1,1,Late Delivery,On Hold,First Class
00483,Transfer,4,4,0,Shipping On Time,Processing,Standard Class
00484,Payment,5,2,1,Late Delivery,Pending Payment,Second Class
00485,Payment,6,2,1,Late Delivery,Pending Payment,Second Class
00486,Transfer,2,2,0,Shipping On Time,Processing,Second Class
00487,Transfer,3,2,1,Late Delivery,Processing,Second Class
00488,Payment,4,2,1,Late Delivery,Pending Payment,Second Class
00489,Payment,5,2,1,Late Delivery,Pending Payment,Second Class
00490,Debit,6,2,1,Late Delivery,Complete,Second Class
00491,Debit,2,2,0,Shipping On Time,On Hold,Second Class
00492,Payment,3,2,1,Late Delivery,Pending Payment,Second Class
00493,Debit,4,2,1,Late Delivery,Complete,Second Class
00494,Payment,5,2,1,Late Delivery,Pending Payment,Second Class
00495,Debit,6,4,1,Late Delivery,Complete,Standard Class
00496,Debit,2,4,0,Advance Shipping,Complete,Standard Class
00497,Debit,3,4,0,Advance Shipping,Complete,Standard Class
00498,Payment,4,4,0,Shipping On Time,Pending Payment,Standard Class
00499,Debit,5,4,1,Late Delivery,Complete,Standard Class
00500,Cash,6,4,1,Late Delivery,Closed,Standard Class
00501,Cash,2,4,0,Advance Shipping,Closed,Standard Class
00502,Debit,3,4,0,Advance Shipping,Complete,Standard Class
00503,Payment,4,4,0,Shipping On Time,Pending Payment,Standard Class
00504,Debit,5,4,1,Late Delivery,Complete,Standard Class
00505,Transfer,6,4,1,Late Delivery,Processing,Standard Class
00506,Transfer,2,4,0,Advance Shipping,Pending,Standard Class
00508,Debit,4,4,0,Shipping On Time,Complete,Standard Class
00509,Debit,5,4,1,Late Delivery,Complete,Standard Class
00510,Payment,6,4,1,Late Delivery,Pending Payment,Standard Class
00511,Transfer,2,4,0,Advance Shipping,Processing,Standard Class
00512,Debit,3,4,0,Advance Shipping,Complete,Standard Class
00513,Debit,4,4,0,Shipping On Time,Complete,Standard Class
00515,Payment,6,4,1,Late Delivery,Pending Payment,Standard Class
00516,Debit,2,4,0,Advance Shipping,Complete,Standard Class
00517,Transfer,3,4,0,Advance Shipping,Processing,Standard Class
00518,Debit,4,4,0,Shipping On Time,Complete,Standard Class
00519,Debit,5,4,1,Late Delivery,Complete,Standard Class
00520,Debit,6,4,1,Late Delivery,Complete,Standard Class
00521,Debit,2,4,0,Advance Shipping,Complete,Standard Class
00522,Debit,1,0,1,Late Delivery,Complete,Same Day
00524,Debit,2,1,1,Late Delivery,Complete,First Class
00525,Transfer,6,2,1,Late Delivery,Pending,Second Class
00526,Debit,2,2,0,Shipping On Time,Complete,Second Class
